DD MM YY London Bristol Liverpool Manchester Newcastle Birmingham Sheffield
18  7 53  107  42 260  49  18   31  73
25  7 53   65  22 271  35  15   18  45
 1  8 53   80  14 201  31  13   15  42
 8  8 53   50  16 171  15  13    5  35
15  8 53   67  13  82  15   8   13  25
22  8 53   29   4  57  17   5   15  13
29  8 53   20   3  33  15   7   16   5
 5  9 53   27   5  51  15   3   13   8
12  9 53   19   0  22   1   5    8   8
19  9 53   16   3  19   5   2    9   3
26  9 53   13   1  22   4   2    3   3
 3 10 53    9   4  37  11   2    8   5
10 10 53   13   3  31   6   1    2   3
17 10 53   25   0  29   2   0    4   2
24 10 53   19   0  24   3   0    3   1
31 10 53   12   1  31   6   1    3   4
 7 11 53   31   2  21   5   1    4   2
14 11 53   24  15  25   3   2    4   1
21 11 53   15   0  30   6   3    2   2
28 11 53   20   0  21   4  22    5  10
 5 12 53   12   1  29   2   4    5   2
12 12 53   17   2  18   4   7    4   2
19 12 53   12   0  20   1   1    6   4
26 12 53    1   0  22   1   0    2   0
 2  1 54   58   1  53   6   6    5   7
 9  1 54   13   0  29   3   4   23   5
16  1 54   18   0  34   3   2    7   2
23  1 54   12   5  28   5   0    4   2
30  1 54   11   1  22   2   2    5   2
 6  2 54   19   1  22   6   0    6   2
13  2 54   16   1  39   3   1    3   6
20  2 54   29   2  55   9   0    5   3
27  2 54   33   4  41   3   1    5   9
 6  3 54   33   4  65  11   2   10   3
13  3 54   41   2  64   7   1    4   5
20  3 54   57   1  89   7   1    3   4
27  3 54   32   1 107  10   0    5   4
 3  4 54   45   0 119  11   5    4   3
10  4 54   67   0 122   7   0    6   6
17  4 54   67   0  94   1   2    2   2
24  4 54   93   0 129   8   1    0   7
 1  5 54   72   1 123   5   5    9   6
 8  5 54   71   2 126   5   7    5   1
15  5 54   58   0 118   9   2    4   6
22  5 54   61   4 133  14  10   10   5
29  5 54   42   0 134  12   9    6   5
 5  6 54   68   0 143  40  28    8   4
12  6 54   83   0 189  62  45   13   6
19  6 54   93   2 235  44  35    5  10
26  6 54   81   8 201  75  45    8  13
 3  7 54   94   7 242  47  65    6   5
10  7 54  121   8 232  72  34   11   6
17  7 54  191   7 235  80  46    9  16
24  7 54  169   7 258  71  41    5  22
31  7 54  147  13 294  82  37    6  10
 7  8 54  126  14 226 118  42    8  16
14  8 54  123   6 251  91  29   17  16
21  8 54  105   8 186  85  15    9  16
28  8 54   81   4 172  72  21    6   7
 4  9 54   63   4 159  82  15   13  10
11  9 54   57   5 113  67  14    9   8
18  9 54   87   2 168 129   7   10   9
25  9 54   80   0 177 165   5    5   8
 2 10 54  125   2 137 285  12    9   7
 9 10 54  159   0 194 380   8   12  10
16 10 54  185   1 178 326  19    4  14
23 10 54  204   1 250 524  23    8  32
30 10 54  254   1 194 512  23    6  39
 6 11 54  285   0 277 651  30   12  42
13 11 54  209   0 239 582  20    8  39
20 11 54  262   4 342 642  22   19  28
27 11 54  273   0 265 867  26   19  34
 4 12 54  390  16 324 872  26   16  20
11 12 54  473   5 333 894  25   12  39
18 12 54  548  26 279 709  19   24  41
25 12 54  550  17 132 558  28   14  84
 1  1 55  988  25 314 631  17   37  63
 8  1 55 1004  31 269 629  31   32  92
15  1 55  791  27 215 496  29   45  74
22  1 55  656  13 155 328  41   70  63
29  1 55 1137  18 216 442  53  142 122
 5  2 55 1295  40 170 387 136  240 142
12  2 55 1945  37 213 519 190  403 188
19  2 55 2402  67 240 502 265  408 234
26  2 55 2694  41 283 483 326  877 360
 5  3 55 3412  55 252 350 310  844 478
12  3 55 2626  63 250 316 263 1410 547
19  3 55 3685  60 166 236 347 1461 618
26  3 55 3337  83 200 168 266 1824 706
 2  4 55 4103  97 206 181 270 2286 804
 9  4 55 3089 134 178 117 193 1941 769
16  4 55 3291 164 171 114 211 2336 750
23  4 55 2614 257 226  86 218 1868 624
30  4 55 1789 193 206  74 185 1430 442
 7  5 55 1236 321 211  73 156 1156 356
14  5 55 1063 358 178  77 167 1041 293
21  5 55  962 569 220  44 127  955 273
28  5 55  923 676 141  53 109  850 313
 4  6 55  792 835 132  34  76  565 161
11  6 55  932 703 159  69  74  606 369
18  6 55  496 768 132  67  68  460 205
25  6 55  506 761 145  48  42  317 165
 2  7 55  342 633 135  41  60  332 100
 9  7 55  380 516 147  49  28  247  98
16  7 55  272 385 102  34  23  104  86
23  7 55  192 432  73  34  12  106  70
30  7 55  166 313  81  34  13   59  35
 6  8 55  130 189  45  20   2   55  44
13  8 55  124 136  58  31  12   30  10
20  8 55   82  77  28  37   4   22  17
27  8 55   76  28  38  22   5   18   7
 3  9 55   58  27  19  37   4    6   5
10  9 55   38  13  22  17   2    5   8
17  9 55   22   7  16  15   2   12   7
24  9 55   24   8  25  11   3    9   0
 1 10 55   32   2  23  13   3   11   2
 8 10 55   29   5  17  21   0    6   1
15 10 55   41   3  18  12   0   16   1
22 10 55   33   2   9   7   0    8   1
29 10 55   33   2  19   9   0    8   4
 5 11 55   28   3  10  14   0    6   1
12 11 55   36   1  25  10   4    5   4
19 11 55   30   0  16  17   1   11   1
26 11 55   29   2  17   4   2    7  10
 3 12 55   22   3  18  12   1    8  12
10 12 55   20   3  24   1   6    5   7
17 12 55   13   1  18   5   7   13   6
24 12 55   15   1   8  12   2    0  10
31 12 55   22   0  23   9   5    6  11
 7  1 56   26   0   9  35   2    5   9
14  1 56   26   5  10  16  13    7   4
21  1 56   20   1  16   8   6    6   3
28  1 56   22   1  21  11  14    8   2
 4  2 56   26   2  24  17   9    4   0
11  2 56   51   0  42  15   7    2   8
18  2 56   61   0  47  19  12    2  11
25  2 56   49   0  46  15   5    4   5
 3  3 56   76   7  42  23   5    6   2
10  3 56   54   3  24   9  17    5   0
17  3 56   56   0  39  21  16    0   2
24  3 56   66   1  16   7   3    5   2
31  3 56   76   1  26  10   1    3   1
 7  4 56   75   2  22  12   3    4   2
14  4 56  114   4  57  10   4    6   2
21  4 56   83   1  51   8   4    7  13
28  4 56   80   5  59  13   5    5   4
 5  5 56   94  10 117   6   6    4   0
12  5 56  166   9 118   6   0    3   1
19  5 56  206  22 121   9   5    7   2
26  5 56  249  12 197   4   1    9   2
 2  6 56  316  22 197  14   4    9   2
 9  6 56  317   8 198   9   2    4   1
16  6 56  282  36 216  33   5    8   1
23  6 56  280  11 179  11   8   10   1
30  6 56  374  23 288  15  10    4   4
 7  7 56  305  22 215  13   3   14   3
14  7 56  329  22 253  16   4   12   3
21  7 56  287  13 259  13   2    8   1
28  7 56  363  17 273  18   2    5   5
 4  8 56  258  16 235  20   0   18   3
11  8 56  225   8 146  24   2    2   1
18  8 56  245  21 152  27   3    7   1
25  8 56  186  12 133  23   1    6   3
 1  9 56  172   8 109  18   1    9   2
 8  9 56  104   0  93  29   2    8   1
15  9 56   98   4  89  20   1    3   3
22  9 56   85   2 107  31   5   12   2
29  9 56  100   2 110  30   4    5   4
 6 10 56  140   0 103  36   3    8   5
13 10 56  146   1 105  59  10    8   2
20 10 56  190   0 155  46  25   11   1
27 10 56  195   1 154  94  14   10   9
 3 11 56  193   1 175  54  21   10   4
10 11 56  232   0 146  67  13   22   4
17 11 56  220   1 201  48  24   31   2
24 11 56  314   1 177  88  17   18   3
 1 12 56  266   2 180 103  30   51   7
 8 12 56  390   1 192 184  26   39   9
15 12 56  397   1 208 228  68   34   7
22 12 56  397   2 197 221  70   42   8
29 12 56  438   5 258 264  81   30   1
 5  1 57  798   4 381 416 189   80  12
12  1 57  674   6 299 339 277   78  17
19  1 57  680   7 291 258 284   51  11
26  1 57  682  14 247 437 349   73  20
 2  2 57  971  21 416 510 373   58  16
 9  2 57 1353  25 459 572 547  136  29
16  2 57 1508  24 469 606 556  140  56
23  2 57 1945  28 479 743 616  234  68
 2  3 57 1876  52 497 718 444  282  99
