STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840403 19:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840403 20:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840403 20:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840403 21:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840403 22:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840403 23:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 01:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840404 03:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 04:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840404 20:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 21:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 21:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 22:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840404 22:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 23:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 23:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 23:30,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840404 23:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840405 00:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840405 00:30,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840405 00:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840405 01:00,-9999, , , ,0.02, , ,HI
